species	local_incomplete_count	ensembl_dir	match_type	exact_accession_count	assembly_name_match_count	has_gff3	has_gtf	gff3_url	gtf_url	gff3_listing_status	gtf_listing_status	observed_accessions	exact_accessions	assembly_name_matches
Triticum aestivum	60	triticum_aestivum_mace	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/triticum_aestivum_mace/Triticum_aestivum_mace.PGSBv2.1.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/triticum_aestivum_mace/Triticum_aestivum_mace.PGSBv2.1.62.chr.gtf.gz	fetched	fetched			
Triticum aestivum	60	triticum_aestivum_mattis	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/triticum_aestivum_mattis/Triticum_aestivum_mattis.PGSBv2.1.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/triticum_aestivum_mattis/Triticum_aestivum_mattis.PGSBv2.1.62.chr.gtf.gz	fetched	fetched			
Triticum aestivum	60	triticum_aestivum_norin61	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/triticum_aestivum_norin61/Triticum_aestivum_norin61.PGSBv2.1.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/triticum_aestivum_norin61/Triticum_aestivum_norin61.PGSBv2.1.62.chr.gtf.gz	fetched	fetched			
Triticum aestivum	60	triticum_aestivum_paragon	exact_accession	1	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/triticum_aestivum_paragon/Triticum_aestivum_paragon.GCA949126075v1.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/triticum_aestivum_paragon/Triticum_aestivum_paragon.GCA949126075v1.62.chr.gtf.gz	fetched	fetched	GCA_949126075	GCA_949126075.2	
Triticum aestivum	60	triticum_aestivum_refseqv2	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/triticum_aestivum_refseqv2/Triticum_aestivum_refseqv2.IWGSC_RefSeq_v2.1.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/triticum_aestivum_refseqv2/Triticum_aestivum_refseqv2.IWGSC_RefSeq_v2.1.62.chr.gtf.gz	fetched	fetched			
Triticum aestivum	60	triticum_aestivum_renan	assembly_name	0	2	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/triticum_aestivum_renan/Triticum_aestivum_renan.Triticum_aestivum_Renan_v2.1.62.chromosome.1A.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/triticum_aestivum_renan/Triticum_aestivum_renan.Triticum_aestivum_Renan_v2.1.62.gtf.gz	fetched	fetched			GCA_920937835.1;GCA_937894285.1
Triticum aestivum	60	triticum_aestivum_robigus	assembly_name	0	1	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/triticum_aestivum_robigus/Triticum_aestivum_robigus.EIv1.1.62.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/triticum_aestivum_robigus/Triticum_aestivum_robigus.EIv1.1.62.gtf.gz	fetched	fetched			GCA_902810685.1
Triticum aestivum	60	triticum_aestivum_stanley	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/triticum_aestivum_stanley/Triticum_aestivum_stanley.PGSBv2.2.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/triticum_aestivum_stanley/Triticum_aestivum_stanley.PGSBv2.2.62.chr.gtf.gz	fetched	fetched			
Triticum aestivum	60	triticum_aestivum_weebil	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/triticum_aestivum_weebil/Triticum_aestivum_weebil.WeebilV1.62.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/triticum_aestivum_weebil/Triticum_aestivum_weebil.WeebilV1.62.gtf.gz	fetched	fetched			
Vitis vinifera	87	vitis_vinifera	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/vitis_vinifera/Vitis_vinifera.ASM3070453v1.62.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/vitis_vinifera/Vitis_vinifera.ASM3070453v1.62.gtf.gz	fetched	fetched			
Zea mays	185	zea_mays	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/zea_mays/Zea_mays.Zm-B73-REFERENCE-NAM-5.0.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/zea_mays/Zea_mays.Zm-B73-REFERENCE-NAM-5.0.62.chr.gtf.gz	fetched	fetched			
